time,open,high,low,close,volume
1483228800,966.61,967.79,965.0,967.0,95.56461440000001
1483232400,967.0,967.25,965.5,965.5,60.662494
1483236000,965.5,966.59,965.0,965.0,69.84014739
1483239600,965.0,965.01,963.16,964.49,56.69978697
1483243200,963.84,963.9,961.26,962.6,80.57015921
1483246800,962.6,965.2,962.11,964.88,91.04205255000001
1483250400,964.88,967.45,962.72,967.45,105.66447989
1483254000,966.48,967.41,965.8,965.81,27.48901068
1483257600,965.81,965.86,962.6,965.46,149.61769649000004
1483261200,965.41,966.57,965.37,965.98,32.2885026
1483264800,965.98,978.02,965.98,977.01,1061.8347781499997
1483268400,977.71,978.89,975.05,978.16,712.32163622
1483272000,977.11,978.59,970.85,973.32,292.53073960999996
1483275600,973.98,978.51,973.75,976.89,82.36689805000002
1483279200,976.89,978.49,976.0,978.45,115.83057976
1483282800,978.5,982.0,976.46,981.96,459.6714797699998
1483286400,981.97,999.0,976.24,996.29,4757.045348320001
1483290000,996.23,999.0,987.18,994.31,1041.3577317400002
1483293600,993.75,1005.0,993.68,999.0,1166.07772577
1483297200,998.91,1001.6,995.22,999.52,484.01616086999996
1483300800,999.5,1005.0,999.5,1004.0,689.4618312599998
1483304400,1004.0,1006.5,1004.0,1004.6,551.8526852899998
1483308000,1004.5,1006.5,1004.0,1004.7,196.43916907999997
1483311600,1004.7,1005.8,991.5,998.99,1060.9032667699998
1483315200,999.0,1002.5,997.31,999.99,390.00696195
1483318800,999.03,1002.7,997.3,1002.4,260.63287716
1483322400,1001.6,1011.5,1000.5,1011.5,431.56266451
1483326000,1011.5,1015.0,1009.0,1013.0,737.0453683400003
1483329600,1014.0,1018.0,1010.5,1015.0,423.3095600199999
1483333200,1014.1,1016.8,1008.9,1011.4,235.21786580000003
1483336800,1012.0,1016.9,1010.4,1016.7,238.33158462999998
1483340400,1016.7,1018.9,1014.1,1018.2,401.18766499
1483344000,1018.2,1018.8,1010.5,1015.6,763.1847328399999
1483347600,1015.6,1022.4,1014.6,1021.4,1228.6884966300001
1483351200,1021.7,1026.2,1020.2,1024.4,647.6910569700002
1483354800,1025.8,1034.5,1024.5,1034.5,1270.02058299
1483358400,1034.4,1035.0,1023.8,1030.0,1015.0544047299995
1483362000,1029.7,1030.0,1005.5,1018.9,2007.5701078399995
1483365600,1020.8,1030.0,1018.1,1028.2,1208.6165474800002
1483369200,1028.09999999,1030.2,1027.2,1030.0,651.6481502600002
1483372800,1030.0,1033.2,1024.5,1028.4,1319.6249259899998
1483376400,1028.2,1029.7,1021.2,1026.7,596.1306914699999
1483380000,1026.7,1029.7,1018.8,1020.2,960.1733059600001
1483383600,1020.2,1021.8,1010.0,1012.5,974.7943808400001
1483387200,1012.5,1024.7,994.1,1023.7,3992.610184230001
1483390800,1023.8,1024.8,1013.2,1015.9,1006.3598176600007
1483394400,1016.0,1025.0,1016.0,1020.1,766.5690033399998
1483398000,1020.1,1022.0,1017.1,1019.3,282.60356761
1483401600,1019.6,1029.7,1019.2,1024.9,580.8988141999998
1483405200,1024.8,1028.8,1023.1,1026.59999999,280.32753189999994
1483408800,1027.5,1028.3,1016.2,1024.9,717.6159300899996
1483412400,1025.8,1031.0,1025.8,1027.9,459.07835263999993
1483416000,1027.9,1029.7,1024.59999999,1025.4,181.29558916
1483419600,1025.0,1026.5,1020.3,1025.09999999,284.89173285999993
1483423200,1025.09999999,1026.9,1020.9,1021.1,376.51352926000004
1483426800,1020.9,1023.8,1016.0,1021.2,610.4891643699997
1483430400,1021.3,1021.5,1016.3,1018.1,435.10833082
1483434000,1018.1,1022.1,1013.5,1016.0,697.6233764
1483437600,1016.2,1021.4,1013.5,1019.1,428.31951559000015
1483441200,1019.1,1022.7,1019.1,1022.4,197.72396991
1483444800,1022.4,1027.3,1022.4,1024.5,505.98071130000005
1483448400,1024.5,1024.59999999,1017.7,1020.0,509.81675851999995
1483452000,1020.9,1021.7,1015.7,1016.0,448.27199677000016
1483455600,1016.0,1024.0,1015.3,1020.6,911.2558242599999
1483459200,1020.6,1021.3,1017.3,1021.1,234.95384149999995
1483462800,1021.1,1022.4,1019.0,1021.7,248.69333921
1483466400,1021.4,1025.0,1019.9,1020.0,440.44068459000005
1483470000,1020.0,1022.7,1019.3,1022.0,411.58404830000006
1483473600,1022.0,1027.9,1021.6,1024.59999999,646.0705950500002
1483477200,1024.59999999,1032.5,1024.59999999,1029.9,1001.5447893800001
1483480800,1029.9,1036.0,1027.3,1031.7,1703.8367540499999
1483484400,1032.3,1040.0,1031.0,1037.5,1795.58992132
1483488000,1037.59999999,1043.9,1036.4,1039.3,1352.3237796299995
